Gene Name	Accession-1	Left-End-Position	Right-End-Position	Regulation - transcription units of gene	Object ID	Transcription units - promoter of operon	Transcription units - binding sites	Transcription units - regulators of operon	Regulation - direct regulators of gene	Regulation - transcription factor regulators of gene
manA	b1613	1688576	1689751	manA	EG10566	manAp	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 7.5 bases downstream of manAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 1.5 bases upstream of manAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 64 bases upstream of manAp	CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional dual regulator ArcA // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Lrp	CRP-cAMP DNA-binding transcriptional dual regulator
yqeJ	b2848	2989304	2989786	yqeIJ	G7468				DNA-binding transcriptional dual regulator Nac	
gpp	b3779	3962745	3964229	gpp	EG10413					
fecE	b4287	4510690	4511457	fecABCDE	EG10290	fecAp	DNA-binding-site regulating fecAp (BS0-8772) // HypT-[Met-oxidized] DNA-binding-site regulating fecAp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 23 bases upstream of fecAp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 26 bases upstream of fecAp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 29 bases upstream of fecAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site regulating fecAp // PdhR DNA-binding-site 21 bases upstream of fecAp	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator PdhR // HypT-[Met-oxidized] DNA-binding transcriptional dual regulator // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator	RNA polymerase sigma factor FecI // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator PdhR // HypT-[Met-oxidized] DNA-binding transcriptional dual regulator // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator	HypT-[Met-oxidized] DNA-binding transcriptional dual regulator // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator PdhR
rfbD	b2040	2111077	2111976	rfbBDACX	EG12411					
hyaA	b0972	1032139	1033257	hyaABCDEF // hyaABCDEF	EG10468	hyaAp2 // hyaAp	AppY DNA-binding-site regulating hyaAp2 // ArcA-Pasp54 DNA-binding-site 67 bases upstream of hyaAp2 // IscR DNA-binding-site 42 bases upstream of hyaAp2 // NarP-Pasp59 DNA-binding-site 7 bases downstream of hyaAp2 // NarP-Pasp59 DNA-binding-site 10 bases upstream of hyaAp2 // NarL-Pasp59 DNA-binding-site 7 bases downstream of hyaAp2 // NarL-Pasp59 DNA-binding-site 10 bases upstream of hyaAp2 // Fis DNA-binding-site 21 bases upstream of hyaAp2 // IscR DNA-binding-site 39 bases upstream of hyaAp2 // ArcA-Pasp54 DNA-binding-site 7.5 bases upstream of hyaAp2 // YdeO DNA-binding-site 61 bases upstream of hyaAp2	DLP12 prophage; DNA-binding transcriptional activator AppY // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator YdeO // Phosphorylated DNA-binding transcriptional dual regulator NarP // Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator IscR	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional dual regulator YdeO // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DLP12 prophage; DNA-binding transcriptional activator AppY // DNA-binding transcriptional dual regulator Fis // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator NarP // DNA-binding transcriptional dual regulator IscR	DNA-binding transcriptional dual regulator YdeO // DNA-binding transcriptional dual regulator Fis // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator NarP // DNA-binding transcriptional dual regulator IscR // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DLP12 prophage; DNA-binding transcriptional activator AppY
yobB	b1843	1925440	1926096	yobB-exoX	G7015				DNA-binding transcriptional dual regulator Nac	
nupC	b2393	2513042	2514244	nupC	EG11971	nupCp	CytR DNA-binding-site regulating nupCp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of nupCp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 89.5 bases upstream of nupCp // Nac DNA-binding-site regulating nupCp	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac // DNA-binding transcriptional repressor CytR	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional repressor CytR // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional repressor CytR // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac
araB	b0063	68348	70048	araBAD	EG10053	araBp	AraC DNA-binding-site 128 bases downstream of araCp // AraC-arabinose DNA-binding-site 31 bases upstream of araCp // AraC-arabinose DNA-binding-site 10 bases upstream of araCp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 54.5 bases upstream of araCp // AraC-arabinose DNA-binding-site 105 bases upstream of araCp // AraC DNA-binding-site 84 bases upstream of araCp	CRP-cAMP DNA-binding transcriptional dual regulator // AraC-L-arabinose DNA-binding transcriptional activator // DNA-binding transcriptional dual regulator AraC	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator AraC // AraC-L-arabinose DNA-binding transcriptional activator	DNA-binding transcriptional dual regulator AraC // CRP-cAMP DNA-binding transcriptional dual regulator // AraC-L-arabinose DNA-binding transcriptional activator
ylbG	b0502	529645	530016	ylbG	G6273					
gmm	b2051	2125743	2126222	wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	EG11789					
ydcL	b1431	1502457	1503125	ydcL	G6742		Rob DNA-binding-site regulating ydcL	DNA-binding transcriptional dual regulator Rob // ppGpp	DNA-binding transcriptional dual regulator Rob // ppGpp // DNA-binding transcriptional dual regulator Lrp	DNA-binding transcriptional dual regulator Rob
tdk	b1238	1293527	1294144	tdk	EG10994					
ybiT	b0820	855963	857555	ybiT	G6423	ybiTp	Rob DNA-binding-site regulating ybiTp // AscG DNA-binding-site 108.5 bases upstream of ybiTp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 97.5 bases upstream of ybiTp	DNA-binding transcriptional dual regulator Rob // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor AscG	DNA-binding transcriptional dual regulator Rob // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor AscG // DNA-binding transcriptional dual regulator Lrp	DNA-binding transcriptional dual regulator Rob // DNA-binding transcriptional repressor AscG // CRP-cAMP DNA-binding transcriptional dual regulator
ushA	b0480	504914	506566	ushA	EG11060					
fdnG	b1474	1547401	1550448	fdnGHI	EG11227	fdnGp	NarP-Pasp59 DNA-binding-site 109 bases upstream of fdnGp // NarP-Pasp59 DNA-binding-site 100 bases upstream of fdnGp // NarL-Pasp59 DNA-binding-site 124 bases upstream of fdnGp // Fnr DNA-binding-site 42.5 bases upstream of fdnGp // NarL-Pasp59 DNA-binding-site 77 bases upstream of fdnGp // NarL-Pasp59 DNA-binding-site 109 bases upstream of fdnGp // Fnr DNA-binding-site 97.5 bases upstream of fdnGp // NarL-Pasp59 DNA-binding-site 100 bases upstream of fdnGp	DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator NarP	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator NarP	Phosphorylated DNA-binding transcriptional dual regulator NarP // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator NarL
ybeT	b0647	678852	679406	ybeT	G6354		Nac DNA-binding-site regulating ybeT	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac
pyrG	b2780	2908029	2909666	pyrG-eno // pyrG-eno // pyrG-eno	EG10810	pyrGp // pyrGp2 // pyrGp1				
hcaE	b2538	2669032	2670393	hcaEFCBD	M009	hcaEp	DNA-binding transcriptional dual regulator HcaR DNA-binding-site 42 bases upstream of hcaEp	HcaR-HCA DNA-binding transcriptional dual regulator	HcaR-HCA DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac	HcaR-HCA DNA-binding transcriptional dual regulator
bfd	b3337	3466797	3466991	bfd-bfr	EG11181				DNA-binding transcriptional dual regulator Nac	
cpsB	b2049	2123084	2124520	wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	EG10161					
ybcH	b0567	587091	587981	ybcH	EG12448					
deoR	b0840	881976	882734	deoR	EG10223	deoRp				
xylG	b3567	3732201	3733742	xylFGHR	EG12275	xylFp	Fis DNA-binding-site 75 bases upstream of xylFp // Fis DNA-binding-site 82 bases upstream of xylFp // Fis DNA-binding-site 22 bases downstream of xylFp // XylR-xylose DNA-binding-site 40.5 bases upstream of xylFp // XylR-xylose DNA-binding-site 61.5 bases upstream of xylFp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 180.5 bases upstream of xylFp	XylR-Xylose DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis	XylR-Xylose DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis	DNA-binding transcriptional dual regulator Fis // XylR-Xylose DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator
rfbB	b2041	2111976	2113061	rfbBDACX	EG12412				DNA-binding transcriptional repressor GlaR // DNA-binding transcriptional dual regulator Nac	
fldA	b0684	710935	711465	fldA-uof-fur	EG10318	fldAp	SoxS DNA-binding-site 61.5 bases upstream of fldAp	DNA-binding transcriptional dual regulator SoxS	DNA-binding transcriptional dual regulator SoxS	DNA-binding transcriptional dual regulator SoxS
yiiX	b3937	4127286	4127894	yiiX	EG11882					
pnuC	b0751	783166	783885	nadAp // pnuC // nadA	EG11700	nadAp	NadR DNA-binding-site 57.5 bases upstream of nadAp	DNA-binding transcriptional repressor/NMN adenylyltransferase NadR	DNA-binding transcriptional repressor/NMN adenylyltransferase NadR	DNA-binding transcriptional repressor/NMN adenylyltransferase NadR
paaB	b1389	1454868	1455155	paaABCDEFGHIJK	G6710	paaAp	SlyA DNA-binding-site 19.5 bases upstream of paaAp // SlyA DNA-binding-site 74.5 bases upstream of paaAp // SlyA DNA-binding-site 177.5 bases upstream of paaAp // PaaX DNA-binding-site 30 bases downstream of paaAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 136.5 bases upstream of paaZp // IHF DNA-binding-site 80 bases upstream of paaZp	DNA-binding transcriptional dual regulator SlyA // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional repressor PaaX	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator SlyA // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional repressor PaaX	DNA-binding transcriptional dual regulator SlyA // DNA-binding transcriptional repressor PaaX // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator IHF
dctR	b3507	3654683	3655213	slp-dctR	EG11889	slpp	GadX DNA-binding-site 70.5 bases upstream of slpp // GadX DNA-binding-site 17 bases downstream of slpp // GadX DNA-binding-site 3 bases upstream of slpp // YdeO DNA-binding-site 40 bases upstream of slpp // GadW DNA-binding-site 81.5 bases upstream of slpp // GadX DNA-binding-site 81.5 bases upstream of slpp // H-NS DNA-binding-site regulating slpp // GadRcs DNA-binding-site regulating slpp // GadW DNA-binding-site 60.5 bases upstream of slpp // GadX DNA-binding-site 60.5 bases upstream of slpp // MarA DNA-binding-site 39 bases downstream of slpp	DNA-binding transcriptional dual regulator YdeO // GadE-RcsB DNA-binding transcriptional activator // DNA-binding transcriptional dual regulator GadX // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator GadW // DNA-binding transcriptional dual regulator MarA	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator YdeO // GadE-RcsB DNA-binding transcriptional activator // DNA-binding transcriptional dual regulator GadX // DNA-binding transcriptional repressor GlaR // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator GadW // DNA-binding transcriptional dual regulator MarA	DNA-binding transcriptional dual regulator YdeO // DNA-binding transcriptional dual regulator H-NS // GadE-RcsB DNA-binding transcriptional activator // DNA-binding transcriptional dual regulator GadW // DNA-binding transcriptional dual regulator GadX // DNA-binding transcriptional dual regulator MarA
rfbA	b2039	2110138	2111019	rfbACX // rfbBDACX	EG11978	rfbAp // 				
yigF	b3817	4002419	4002799	yigGF	EG11464					
relA	b2784	2911417	2913651	relA // relA // relA-mazEF // relA-mazEF	EG10835	relAp4 // relAp3 // relAp2 // relAp1	NtrC-Pasp DNA-binding-site regulating relAp4 //  // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 60.5 bases upstream of relAp2 // H-NS DNA-binding-site regulating relAp2 // HipAB DNA-binding-site 5 bases downstream of relAp1 // HipB DNA-binding-site 5 bases downstream of relAp1	NtrC-Phosphorylated DNA-binding transcriptional dual regulator //  // ppGpp // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor // antitoxin/DNA-binding transcriptional repressor HipB	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma 54 (sigma N) factor // NtrC-Phosphorylated DNA-binding transcriptional dual regulator // ppGpp // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator Lrp // HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor // antitoxin/DNA-binding transcriptional repressor HipB	NtrC-Phosphorylated DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor // antitoxin/DNA-binding transcriptional repressor HipB
proV	b2677	2804815	2806017	proVWX // proVWX // proVWX // proVWX	EG10771	proVp // proVp2 // proVp3 // proVp1	H-NS DNA-binding-site regulating proVp //  // IHF DNA-binding-site 140 bases downstream of proVp3 // IHF DNA-binding-site 18.5 bases upstream of proVp3 // H-NS DNA-binding-site 33 bases upstream of proVp3 // H-NS DNA-binding-site 7 bases downstream of proVp3 // H-NS DNA-binding-site 26 bases downstream of proVp3 // H-NS DNA-binding-site 45 bases downstream of proVp3 // H-NS DNA-binding-site 72 bases downstream of proVp3 // H-NS DNA-binding-site 84 bases downstream of proVp3 // H-NS DNA-binding-site 100 bases downstream of proVp3 // H-NS DNA-binding-site 130 bases downstream of proVp3 // H-NS DNA-binding-site 156 bases downstream of proVp3 // H-NS DNA-binding-site 170 bases downstream of proVp3	DNA-binding transcriptional dual regulator H-NS //  // DNA-binding transcriptional dual regulator IHF	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator H-NS	DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional dual regulator H-NS
lysY	b0747	781147	781222	valZ-lysY	G6390					
sdhB	b0724	757689	758405	sdhDAB // sdhCDAB-sucABCD-sdhX	EG10932	sdhDp // sdhCp	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 13 bases upstream of sdhDp // Fnr DNA-binding-site regulating sdhCp // ArcA-Pasp54 DNA-binding-site 27 bases upstream of sdhCp // ArcA-Pasp54 DNA-binding-site 32 bases upstream of sdhCp // ArcA-Pasp54 DNA-binding-site 257 bases downstream of sdhCp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 107.5 bases upstream of gltAp1 // ArcA-Pasp54 DNA-binding-site 211 bases upstream of sdhCp // ArcA-Pasp54 DNA-binding-site 137 bases upstream of sdhCp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 34 bases upstream of sdhCp	CRP-cAMP DNA-binding transcriptional dual regulator // Phosphorylated DNA-binding transcriptional dual regulator ArcA // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // small regulatory RNA RyhB // DNA-binding transcriptional dual regulator FNR	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // small regulatory RNA RyhB // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA	DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator // Phosphorylated DNA-binding transcriptional dual regulator ArcA // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator
yjfY	b4199	4424516	4424791	yjfY	G7861		GlaR DNA-binding-site regulating yjfY	ppGpp // DNA-binding transcriptional repressor GlaR	ppGpp // DNA-binding transcriptional repressor GlaR	DNA-binding transcriptional repressor GlaR
purH	b4006	4205943	4207532	purHD	EG10795	purHp	RbsR DNA-binding-site 20.5 bases upstream of purHp // PurR-hypoxanthine DNA-binding-site 20.5 bases upstream of purHp // PhoP-Pasp51 DNA-binding-site 479 bases upstream of purHp	Phosphorylated DNA-binding transcriptional dual regulator PhoP // DNA-binding transcriptional dual regulator RbsR // PurR-Hypoxanthine DNA-binding transcriptional repressor	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional dual regulator PhoP // DNA-binding transcriptional dual regulator RbsR // PurR-Hypoxanthine DNA-binding transcriptional repressor	DNA-binding transcriptional dual regulator RbsR // PurR-Hypoxanthine DNA-binding transcriptional repressor // Phosphorylated DNA-binding transcriptional dual regulator PhoP
ldcC	b0186	209679	211820	ldcC	G6094	ldcCp			RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional repressor GlaR	
tldD	b3244	3390583	3392028	tldD	G7689					
thrT	b3979	4175754	4175829	thrU-tyrU-glyT-thrT-tufB	EG30101	thrUp	Fis DNA-binding-site 71 bases upstream of thrUp // Fis DNA-binding-site 91 bases upstream of thrUp // Fis DNA-binding-site 123 bases upstream of thrUp	DNA-binding transcriptional dual regulator Fis // ppGpp	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Fis // ppGpp	DNA-binding transcriptional dual regulator Fis
tapT	b2583	2719223	2719921	tapT-patZ	G7349					
deoB	b4383	4619603	4620826	deoA // deoBD // deoCABD // deoCABD	EG10220	deoAp // deoBp // deoCp2 // deoCp1	 // CytR DNA-binding-site 87.5 bases upstream of deoCp2 // CytR DNA-binding-site 70.5 bases upstream of deoCp2 // DeoR DNA-binding-site 887 bases upstream of deoCp2 // DeoR DNA-binding-site 308 bases upstream of deoCp2 // DeoR DNA-binding-site 8 bases upstream of deoCp2 // CytR DNA-binding-site 61 bases upstream of deoCp2 // ModE-MoO42- DNA-binding-site 35 bases upstream of deoCp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of deoCp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 93.5 bases upstream of deoCp2 // Fis DNA-binding-site 102 bases upstream of deoCp2 // DeoR DNA-binding-site 608 bases upstream of deoCp1 // DeoR DNA-binding-site 269 bases downstream of deoCp1 // DeoR DNA-binding-site 8 bases upstream of deoCp1	 // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional repressor DeoR // DNA-binding transcriptional repressor CytR // ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Fis // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor DeoR // DNA-binding transcriptional repressor CytR // ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Lrp	DNA-binding transcriptional repressor CytR // ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional repressor DeoR
oppF	b1247	1305764	1306768	oppBCDF // oppABCDF	EG10678	oppBp // oppAp	 // DNA-binding transcriptional dual regulator Fur DNA-binding-site 136 bases upstream of oppAp // Lrp DNA-binding-site 1818 bases upstream of oppAp // ArcA-Pasp54 DNA-binding-site regulating oppAp // ModE-MoO42- DNA-binding-site regulating oppAp	 // spermidine // small regulatory RNA GcvB // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Lrp // Phosphorylated DNA-binding transcriptional dual regulator ArcA // ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator	RNA polymerase, sigma 28 (sigma F) factor // spermidine // small regulatory RNA GcvB // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Lrp // Phosphorylated DNA-binding transcriptional dual regulator ArcA // ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator	Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Lrp // Phosphorylated DNA-binding transcriptional dual regulator ArcA // ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator
metT	b0673	697057	697133	metT-leuW-glnUW-metU-glnVX	EG30058	metTp	Fis DNA-binding-site 67 bases upstream of metTp	DNA-binding transcriptional dual regulator Fis // ppGpp	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Fis // ppGpp // DNA-binding transcriptional dual regulator Lrp	DNA-binding transcriptional dual regulator Fis
fdoG	b3894	4082772	4085822	fdoGHI-fdhE	EG11858			small regulatory RNA SdhX	small regulatory RNA SdhX // DNA-binding transcriptional dual regulator Nac	
