promoter,pos,binding_site,gc
TSS_1414_storz_regulondb,-26,1,3
TSS_1414_storz_regulondb,-25,1,3
TSS_1414_storz_regulondb,-24,1,3
TSS_1414_storz_regulondb,-23,1,3
TSS_1414_storz_regulondb,-20,1,3
TSS_1414_storz_regulondb,-19,1,3
TSS_1414_storz_regulondb,-18,1,3
TSS_1414_storz_regulondb,-17,1,3
TSS_1414_storz_regulondb,-16,1,3
TSS_1414_storz_regulondb,-15,1,3
TSS_1414_storz_regulondb,-14,1,3
TSS_1414_storz_regulondb,4,2,3
TSS_1414_storz_regulondb,5,2,3
TSS_1414_storz_regulondb,6,2,3
TSS_1414_storz_regulondb,7,2,3
TSS_1414_storz_regulondb,8,2,3
TSS_1414_storz_regulondb,19,3,3
TSS_1414_storz_regulondb,-41,1,4
TSS_1414_storz_regulondb,-40,1,4
TSS_1414_storz_regulondb,-39,1,4
TSS_1414_storz_regulondb,-27,2,4
TSS_1414_storz_regulondb,-26,2,4
TSS_1414_storz_regulondb,-25,2,4
TSS_1414_storz_regulondb,-24,2,4
TSS_1414_storz_regulondb,-23,2,4
TSS_1414_storz_regulondb,-20,2,4
TSS_1414_storz_regulondb,-19,2,4
TSS_1414_storz_regulondb,-18,2,4
TSS_1414_storz_regulondb,-17,2,4
TSS_1414_storz_regulondb,-16,2,4
TSS_1414_storz_regulondb,-15,2,4
TSS_1414_storz_regulondb,-14,2,4
TSS_1414_storz_regulondb,4,3,4
TSS_1414_storz_regulondb,5,3,4
TSS_1414_storz_regulondb,6,3,4
TSS_1414_storz_regulondb,7,3,4
TSS_1414_storz_regulondb,8,3,4
TSS_1414_storz_regulondb,19,4,4
TSS_1414_storz_regulondb,20,4,4
TSS_1414_storz_regulondb,21,4,4
TSS_1414_storz_regulondb,-75,1,5
TSS_1414_storz_regulondb,-74,1,5
TSS_1414_storz_regulondb,-73,1,5
TSS_1414_storz_regulondb,-72,1,5
TSS_1414_storz_regulondb,-27,2,5
TSS_1414_storz_regulondb,-26,2,5
TSS_1414_storz_regulondb,-25,2,5
TSS_1414_storz_regulondb,-24,2,5
TSS_1414_storz_regulondb,-23,2,5
TSS_1414_storz_regulondb,-19,3,5
TSS_1414_storz_regulondb,-18,3,5
TSS_1414_storz_regulondb,-17,3,5
TSS_1414_storz_regulondb,-16,3,5
TSS_1414_storz_regulondb,-15,3,5
TSS_1414_storz_regulondb,8,4,5
TSS_1414_storz_regulondb,-40,1,6
TSS_1414_storz_regulondb,-27,2,6
TSS_1414_storz_regulondb,-26,2,6
TSS_1414_storz_regulondb,-25,2,6
TSS_1414_storz_regulondb,-24,2,6
TSS_1414_storz_regulondb,-23,2,6
TSS_1414_storz_regulondb,-19,3,6
TSS_1414_storz_regulondb,-18,3,6
TSS_1414_storz_regulondb,-17,3,6
TSS_1414_storz_regulondb,-16,3,6
TSS_1414_storz_regulondb,-15,3,6
TSS_1414_storz_regulondb,-14,3,6
TSS_1414_storz_regulondb,3,4,6
TSS_1414_storz_regulondb,4,4,6
TSS_1414_storz_regulondb,5,4,6
TSS_1414_storz_regulondb,6,4,6
TSS_1414_storz_regulondb,7,4,6
TSS_1414_storz_regulondb,8,4,6
TSS_1414_storz_regulondb,19,5,6
TSS_1414_storz_regulondb,-41,1,7
TSS_1414_storz_regulondb,-40,1,7
TSS_1414_storz_regulondb,-39,1,7
TSS_1414_storz_regulondb,-38,1,7
TSS_1414_storz_regulondb,-37,1,7
TSS_1414_storz_regulondb,16,2,7
TSS_1414_storz_regulondb,17,2,7
TSS_1414_storz_regulondb,18,2,7
TSS_1414_storz_regulondb,19,2,7
TSS_1414_storz_regulondb,20,2,7
TSS_1414_storz_regulondb,31,3,7
TSS_1414_storz_regulondb,32,3,7
TSS_1414_storz_regulondb,33,3,7
TSS_1414_storz_regulondb,-41,1,8
TSS_1414_storz_regulondb,-40,1,8
TSS_1414_storz_regulondb,7,2,8
TSS_1414_storz_regulondb,10,2,8
TSS_1414_storz_regulondb,11,2,8
TSS_1414_storz_regulondb,13,2,8
TSS_1414_storz_regulondb,14,2,8
TSS_1414_storz_regulondb,31,3,8
TSS_1414_storz_regulondb,32,3,8
TSS_1414_storz_regulondb,33,3,8
TSS_1414_storz_regulondb,34,3,8
TSS_1414_storz_regulondb,35,3,8
TSS_1414_storz_regulondb,-27,1,9
TSS_1414_storz_regulondb,-26,1,9
TSS_1414_storz_regulondb,-25,1,9
TSS_1414_storz_regulondb,-24,1,9
TSS_1414_storz_regulondb,-23,1,9
TSS_1414_storz_regulondb,-18,2,9
TSS_1414_storz_regulondb,-17,2,9
TSS_1414_storz_regulondb,-16,2,9
TSS_1414_storz_regulondb,-15,2,9
TSS_1414_storz_regulondb,-14,2,9
TSS_1414_storz_regulondb,4,3,9
TSS_1414_storz_regulondb,5,3,9
TSS_1414_storz_regulondb,6,3,9
TSS_1414_storz_regulondb,7,3,9
TSS_1414_storz_regulondb,8,3,9
TSS_1414_storz_regulondb,9,3,9
TSS_1414_storz_regulondb,10,3,9
TSS_1414_storz_regulondb,-27,1,10
TSS_1414_storz_regulondb,-26,1,10
TSS_1414_storz_regulondb,-25,1,10
TSS_1414_storz_regulondb,-24,1,10
TSS_1414_storz_regulondb,-23,1,10
TSS_1414_storz_regulondb,-19,2,10
TSS_1414_storz_regulondb,-18,2,10
TSS_1414_storz_regulondb,-17,2,10
TSS_1414_storz_regulondb,-16,2,10
TSS_1414_storz_regulondb,-15,2,10
TSS_1414_storz_regulondb,-14,2,10
TSS_1414_storz_regulondb,4,3,10
TSS_1414_storz_regulondb,5,3,10
TSS_1414_storz_regulondb,6,3,10
TSS_1414_storz_regulondb,7,3,10
TSS_1414_storz_regulondb,8,3,10
TSS_1414_storz_regulondb,19,4,10
TSS_1414_storz_regulondb,20,4,10
TSS_1414_storz_regulondb,21,4,10
TSS_1414_storz_regulondb,22,4,10
TSS_1414_storz_regulondb,-40,1,11
TSS_1414_storz_regulondb,-27,2,11
TSS_1414_storz_regulondb,-26,2,11
TSS_1414_storz_regulondb,-25,2,11
TSS_1414_storz_regulondb,-24,2,11
TSS_1414_storz_regulondb,-23,2,11
TSS_1414_storz_regulondb,-19,3,11
TSS_1414_storz_regulondb,-18,3,11
TSS_1414_storz_regulondb,-17,3,11
TSS_1414_storz_regulondb,-16,3,11
TSS_1414_storz_regulondb,-15,3,11
TSS_1414_storz_regulondb,-14,3,11
TSS_1414_storz_regulondb,3,4,11
TSS_1414_storz_regulondb,4,4,11
TSS_1414_storz_regulondb,5,4,11
TSS_1414_storz_regulondb,6,4,11
TSS_1414_storz_regulondb,7,4,11
TSS_1414_storz_regulondb,8,4,11
TSS_1414_storz_regulondb,10,4,11
TSS_1414_storz_regulondb,19,5,11
TSS_1414_storz_regulondb,20,5,11
TSS_1414_storz_regulondb,-40,1,12
TSS_1414_storz_regulondb,-39,1,12
TSS_1414_storz_regulondb,-37,1,12
TSS_1414_storz_regulondb,-27,2,12
TSS_1414_storz_regulondb,-26,2,12
TSS_1414_storz_regulondb,-25,2,12
TSS_1414_storz_regulondb,-24,2,12
TSS_1414_storz_regulondb,-23,2,12
TSS_1414_storz_regulondb,-19,3,12
TSS_1414_storz_regulondb,-18,3,12
TSS_1414_storz_regulondb,-17,3,12
TSS_1414_storz_regulondb,-16,3,12
TSS_1414_storz_regulondb,-15,3,12
TSS_1414_storz_regulondb,-14,3,12
TSS_1414_storz_regulondb,4,4,12
TSS_1414_storz_regulondb,6,4,12
TSS_1414_storz_regulondb,7,4,12
TSS_1414_storz_regulondb,8,4,12
TSS_1414_storz_regulondb,19,5,12
TSS_1414_storz_regulondb,20,5,12
TSS_1414_storz_regulondb,-41,1,13
TSS_1414_storz_regulondb,-40,1,13
TSS_1414_storz_regulondb,-39,1,13
TSS_1414_storz_regulondb,-38,1,13
TSS_1414_storz_regulondb,-37,1,13
TSS_1414_storz_regulondb,-27,2,13
TSS_1414_storz_regulondb,-26,2,13
TSS_1414_storz_regulondb,-25,2,13
TSS_1414_storz_regulondb,-24,2,13
TSS_1414_storz_regulondb,-23,2,13
TSS_1414_storz_regulondb,-19,3,13
TSS_1414_storz_regulondb,-18,3,13
TSS_1414_storz_regulondb,-17,3,13
TSS_1414_storz_regulondb,-16,3,13
TSS_1414_storz_regulondb,-15,3,13
TSS_1414_storz_regulondb,-14,3,13
TSS_1414_storz_regulondb,4,4,13
TSS_1414_storz_regulondb,5,4,13
TSS_1414_storz_regulondb,6,4,13
TSS_1414_storz_regulondb,7,4,13
TSS_1414_storz_regulondb,8,4,13
TSS_1414_storz_regulondb,18,5,13
TSS_1414_storz_regulondb,19,5,13
TSS_1414_storz_regulondb,20,5,13
TSS_1414_storz_regulondb,21,5,13
TSS_1414_storz_regulondb,22,5,13
TSS_1414_storz_regulondb,-43,1,14
TSS_1414_storz_regulondb,-42,1,14
TSS_1414_storz_regulondb,-41,1,14
TSS_1414_storz_regulondb,-40,1,14
TSS_1414_storz_regulondb,-39,1,14
TSS_1414_storz_regulondb,-17,2,14
TSS_1414_storz_regulondb,4,3,14
TSS_1414_storz_regulondb,5,3,14
TSS_1414_storz_regulondb,6,3,14
TSS_1414_storz_regulondb,7,3,14
TSS_1414_storz_regulondb,16,4,14
TSS_1414_storz_regulondb,17,4,14
TSS_1414_storz_regulondb,18,4,14
TSS_1414_storz_regulondb,19,4,14
TSS_1414_storz_regulondb,20,4,14
TSS_1414_storz_regulondb,-41,1,15
TSS_1414_storz_regulondb,-40,1,15
TSS_1414_storz_regulondb,-39,1,15
TSS_1414_storz_regulondb,-19,2,15
TSS_1414_storz_regulondb,-18,2,15
TSS_1414_storz_regulondb,-17,2,15
TSS_1414_storz_regulondb,-16,2,15
TSS_1414_storz_regulondb,-15,2,15
TSS_1414_storz_regulondb,4,3,15
TSS_1414_storz_regulondb,5,3,15
TSS_1414_storz_regulondb,6,3,15
TSS_1414_storz_regulondb,7,3,15
TSS_1414_storz_regulondb,8,3,15
TSS_1414_storz_regulondb,10,3,15
TSS_1414_storz_regulondb,16,4,15
TSS_1414_storz_regulondb,17,4,15
TSS_1414_storz_regulondb,18,4,15
TSS_1414_storz_regulondb,19,4,15
TSS_1414_storz_regulondb,20,4,15
TSS_1414_storz_regulondb,-40,1,18
TSS_1414_storz_regulondb,-27,2,18
TSS_1414_storz_regulondb,-26,2,18
TSS_1414_storz_regulondb,-25,2,18
TSS_1414_storz_regulondb,-24,2,18
TSS_1414_storz_regulondb,-23,2,18
TSS_1414_storz_regulondb,-20,2,18
TSS_1414_storz_regulondb,-19,2,18
TSS_1414_storz_regulondb,-18,2,18
TSS_1414_storz_regulondb,-17,2,18
TSS_1414_storz_regulondb,-16,2,18
TSS_1414_storz_regulondb,-15,2,18
TSS_1414_storz_regulondb,-14,2,18
TSS_1414_storz_regulondb,4,3,18
TSS_1414_storz_regulondb,5,3,18
TSS_1414_storz_regulondb,6,3,18
TSS_1414_storz_regulondb,7,3,18
TSS_1414_storz_regulondb,8,3,18
TSS_1414_storz_regulondb,19,4,18
TSS_1414_storz_regulondb,20,4,18
TSS_1414_storz_regulondb,21,4,18
TSS_1414_storz_regulondb,-40,1,19
TSS_1414_storz_regulondb,-39,1,19
TSS_1414_storz_regulondb,-38,1,19
TSS_1414_storz_regulondb,-37,1,19
TSS_1414_storz_regulondb,-27,2,19
TSS_1414_storz_regulondb,-26,2,19
TSS_1414_storz_regulondb,-25,2,19
TSS_1414_storz_regulondb,-24,2,19
TSS_1414_storz_regulondb,-23,2,19
TSS_1414_storz_regulondb,-20,2,19
TSS_1414_storz_regulondb,-19,2,19
TSS_1414_storz_regulondb,-18,2,19
TSS_1414_storz_regulondb,-17,2,19
TSS_1414_storz_regulondb,-16,2,19
TSS_1414_storz_regulondb,-15,2,19
TSS_1414_storz_regulondb,-14,2,19
TSS_1414_storz_regulondb,3,3,19
TSS_1414_storz_regulondb,4,3,19
TSS_1414_storz_regulondb,5,3,19
TSS_1414_storz_regulondb,6,3,19
TSS_1414_storz_regulondb,7,3,19
TSS_1414_storz_regulondb,8,3,19
TSS_1414_storz_regulondb,-40,1,21
TSS_1414_storz_regulondb,-38,1,21
TSS_1414_storz_regulondb,-37,1,21
TSS_1414_storz_regulondb,-27,2,21
TSS_1414_storz_regulondb,-26,2,21
TSS_1414_storz_regulondb,-25,2,21
TSS_1414_storz_regulondb,-24,2,21
TSS_1414_storz_regulondb,-23,2,21
TSS_1414_storz_regulondb,-19,3,21
TSS_1414_storz_regulondb,-18,3,21
TSS_1414_storz_regulondb,-17,3,21
TSS_1414_storz_regulondb,-16,3,21
TSS_1414_storz_regulondb,-15,3,21
TSS_1414_storz_regulondb,-14,3,21
TSS_1414_storz_regulondb,4,4,21
TSS_1414_storz_regulondb,5,4,21
TSS_1414_storz_regulondb,6,4,21
TSS_1414_storz_regulondb,7,4,21
TSS_1414_storz_regulondb,8,4,21
TSS_1414_storz_regulondb,19,5,21
TSS_1414_storz_regulondb,20,5,21
TSS_1414_storz_regulondb,21,5,21
TSS_1414_storz_regulondb,22,5,21
TSS_1414_storz_regulondb,-27,1,22
TSS_1414_storz_regulondb,-26,1,22
TSS_1414_storz_regulondb,-25,1,22
TSS_1414_storz_regulondb,-24,1,22
TSS_1414_storz_regulondb,-18,2,22
TSS_1414_storz_regulondb,-17,2,22
TSS_1414_storz_regulondb,-16,2,22
TSS_1414_storz_regulondb,-15,2,22
TSS_1414_storz_regulondb,4,3,22
TSS_1414_storz_regulondb,5,3,22
TSS_1414_storz_regulondb,6,3,22
TSS_1414_storz_regulondb,7,3,22
TSS_1414_storz_regulondb,8,3,22
TSS_1414_storz_regulondb,-39,1,23
TSS_1414_storz_regulondb,-27,2,23
TSS_1414_storz_regulondb,-26,2,23
TSS_1414_storz_regulondb,-25,2,23
TSS_1414_storz_regulondb,-24,2,23
TSS_1414_storz_regulondb,-23,2,23
TSS_1414_storz_regulondb,-19,3,23
TSS_1414_storz_regulondb,-18,3,23
TSS_1414_storz_regulondb,-17,3,23
TSS_1414_storz_regulondb,-16,3,23
TSS_1414_storz_regulondb,-15,3,23
TSS_1414_storz_regulondb,-14,3,23
TSS_1414_storz_regulondb,4,4,23
TSS_1414_storz_regulondb,5,4,23
TSS_1414_storz_regulondb,6,4,23
TSS_1414_storz_regulondb,7,4,23
TSS_1414_storz_regulondb,8,4,23
TSS_1414_storz_regulondb,-73,1,25
TSS_1414_storz_regulondb,-40,2,25
TSS_1414_storz_regulondb,-39,2,25
TSS_1414_storz_regulondb,-37,2,25
TSS_1414_storz_regulondb,-27,3,25
TSS_1414_storz_regulondb,-26,3,25
TSS_1414_storz_regulondb,-25,3,25
TSS_1414_storz_regulondb,-24,3,25
TSS_1414_storz_regulondb,-18,4,25
TSS_1414_storz_regulondb,-17,4,25
TSS_1414_storz_regulondb,-16,4,25
TSS_1414_storz_regulondb,-15,4,25
TSS_1414_storz_regulondb,4,5,25
TSS_1414_storz_regulondb,6,5,25
TSS_1414_storz_regulondb,7,5,25
TSS_1414_storz_regulondb,8,5,25
TSS_1414_storz_regulondb,10,5,25
TSS_1414_storz_regulondb,19,6,25
TSS_1414_storz_regulondb,-40,1,28
TSS_1414_storz_regulondb,-39,1,28
TSS_1414_storz_regulondb,-37,1,28
TSS_1414_storz_regulondb,-27,2,28
TSS_1414_storz_regulondb,-26,2,28
TSS_1414_storz_regulondb,-25,2,28
TSS_1414_storz_regulondb,-24,2,28
TSS_1414_storz_regulondb,-23,2,28
TSS_1414_storz_regulondb,-19,3,28
TSS_1414_storz_regulondb,-18,3,28
TSS_1414_storz_regulondb,-17,3,28
TSS_1414_storz_regulondb,-16,3,28
TSS_1414_storz_regulondb,-15,3,28
TSS_1414_storz_regulondb,-14,3,28
TSS_1414_storz_regulondb,19,4,28
TSS_1414_storz_regulondb,20,4,28
TSS_1414_storz_regulondb,21,4,28
TSS_1414_storz_regulondb,22,4,28
TSS_1414_storz_regulondb,-25,1,29
TSS_1414_storz_regulondb,-24,1,29
TSS_1414_storz_regulondb,-23,1,29
TSS_1414_storz_regulondb,-20,1,29
TSS_1414_storz_regulondb,-19,1,29
TSS_1414_storz_regulondb,-18,1,29
TSS_1414_storz_regulondb,-17,1,29
TSS_1414_storz_regulondb,-16,1,29
TSS_1414_storz_regulondb,-15,1,29
TSS_1414_storz_regulondb,-14,1,29
TSS_1414_storz_regulondb,4,2,29
TSS_1414_storz_regulondb,6,2,29
TSS_1414_storz_regulondb,7,2,29
TSS_1414_storz_regulondb,8,2,29
TSS_1414_storz_regulondb,10,2,29
TSS_1414_storz_regulondb,19,3,29
TSS_1414_storz_regulondb,-27,1,30
TSS_1414_storz_regulondb,-25,1,30
TSS_1414_storz_regulondb,-24,1,30
TSS_1414_storz_regulondb,-19,2,30
TSS_1414_storz_regulondb,-18,2,30
TSS_1414_storz_regulondb,-17,2,30
TSS_1414_storz_regulondb,-16,2,30
TSS_1414_storz_regulondb,-15,2,30
TSS_1414_storz_regulondb,-14,2,30
TSS_1414_storz_regulondb,7,3,30
TSS_1414_storz_regulondb,19,4,30
TSS_1414_storz_regulondb,20,4,30
TSS_1414_storz_regulondb,-40,1,31
TSS_1414_storz_regulondb,-27,2,31
TSS_1414_storz_regulondb,-26,2,31
TSS_1414_storz_regulondb,-25,2,31
TSS_1414_storz_regulondb,-24,2,31
TSS_1414_storz_regulondb,-23,2,31
TSS_1414_storz_regulondb,-20,2,31
TSS_1414_storz_regulondb,-19,2,31
TSS_1414_storz_regulondb,-18,2,31
TSS_1414_storz_regulondb,-17,2,31
TSS_1414_storz_regulondb,-16,2,31
TSS_1414_storz_regulondb,-15,2,31
TSS_1414_storz_regulondb,4,3,31
TSS_1414_storz_regulondb,6,3,31
TSS_1414_storz_regulondb,7,3,31
TSS_1414_storz_regulondb,8,3,31
TSS_1414_storz_regulondb,10,3,31
TSS_1414_storz_regulondb,11,3,31
TSS_1414_storz_regulondb,12,3,31
TSS_1414_storz_regulondb,13,3,31
TSS_1414_storz_regulondb,19,4,31
TSS_1414_storz_regulondb,-40,1,32
TSS_1414_storz_regulondb,-39,1,32
TSS_1414_storz_regulondb,-27,2,32
TSS_1414_storz_regulondb,-26,2,32
TSS_1414_storz_regulondb,-25,2,32
TSS_1414_storz_regulondb,-24,2,32
TSS_1414_storz_regulondb,-23,2,32
TSS_1414_storz_regulondb,-20,2,32
TSS_1414_storz_regulondb,-19,2,32
TSS_1414_storz_regulondb,-18,2,32
TSS_1414_storz_regulondb,-17,2,32
TSS_1414_storz_regulondb,-16,2,32
TSS_1414_storz_regulondb,-15,2,32
TSS_1414_storz_regulondb,-14,2,32
TSS_1414_storz_regulondb,4,3,32
TSS_1414_storz_regulondb,5,3,32
TSS_1414_storz_regulondb,6,3,32
TSS_1414_storz_regulondb,7,3,32
TSS_1414_storz_regulondb,8,3,32
TSS_1414_storz_regulondb,19,4,32
TSS_1414_storz_regulondb,-40,1,33
TSS_1414_storz_regulondb,-27,2,33
TSS_1414_storz_regulondb,-26,2,33
TSS_1414_storz_regulondb,-25,2,33
TSS_1414_storz_regulondb,-24,2,33
TSS_1414_storz_regulondb,-23,2,33
TSS_1414_storz_regulondb,-20,2,33
TSS_1414_storz_regulondb,-19,2,33
TSS_1414_storz_regulondb,-18,2,33
TSS_1414_storz_regulondb,-17,2,33
TSS_1414_storz_regulondb,-16,2,33
TSS_1414_storz_regulondb,-15,2,33
TSS_1414_storz_regulondb,-14,2,33
TSS_1414_storz_regulondb,6,3,33
TSS_1414_storz_regulondb,7,3,33
TSS_1414_storz_regulondb,8,3,33
TSS_1414_storz_regulondb,12,4,33
TSS_1414_storz_regulondb,19,5,33
TSS_1414_storz_regulondb,20,5,33
TSS_1414_storz_regulondb,-27,1,34
TSS_1414_storz_regulondb,-26,1,34
TSS_1414_storz_regulondb,-25,1,34
TSS_1414_storz_regulondb,-24,1,34
TSS_1414_storz_regulondb,-23,1,34
TSS_1414_storz_regulondb,-19,2,34
TSS_1414_storz_regulondb,-18,2,34
TSS_1414_storz_regulondb,-17,2,34
TSS_1414_storz_regulondb,-16,2,34
TSS_1414_storz_regulondb,-15,2,34
TSS_1414_storz_regulondb,-14,2,34
TSS_1414_storz_regulondb,4,3,34
TSS_1414_storz_regulondb,6,3,34
TSS_1414_storz_regulondb,7,3,34
TSS_1414_storz_regulondb,8,3,34
TSS_1414_storz_regulondb,10,3,34
TSS_1414_storz_regulondb,19,4,34
TSS_1414_storz_regulondb,20,4,34
TSS_1414_storz_regulondb,21,4,34
TSS_1414_storz_regulondb,-27,1,35
TSS_1414_storz_regulondb,-26,1,35
TSS_1414_storz_regulondb,-25,1,35
TSS_1414_storz_regulondb,-24,1,35
TSS_1414_storz_regulondb,-19,2,35
TSS_1414_storz_regulondb,-18,2,35
TSS_1414_storz_regulondb,-17,2,35
TSS_1414_storz_regulondb,-16,2,35
TSS_1414_storz_regulondb,-15,2,35
TSS_1414_storz_regulondb,4,3,35
TSS_1414_storz_regulondb,5,3,35
TSS_1414_storz_regulondb,6,3,35
TSS_1414_storz_regulondb,7,3,35
TSS_1414_storz_regulondb,8,3,35
TSS_1414_storz_regulondb,10,3,35
TSS_1414_storz_regulondb,19,4,35
TSS_1414_storz_regulondb,20,4,35
TSS_1414_storz_regulondb,21,4,35
TSS_1414_storz_regulondb,22,4,35
TSS_1414_storz_regulondb,-19,1,36
TSS_1414_storz_regulondb,-18,1,36
TSS_1414_storz_regulondb,-17,1,36
TSS_1414_storz_regulondb,-16,1,36
TSS_1414_storz_regulondb,-15,1,36
TSS_1414_storz_regulondb,-12,1,36
TSS_1414_storz_regulondb,-11,1,36
TSS_1414_storz_regulondb,-10,1,36
TSS_1414_storz_regulondb,0,2,36
TSS_1414_storz_regulondb,3,2,36
TSS_1414_storz_regulondb,4,2,36
TSS_1414_storz_regulondb,5,2,36
TSS_1414_storz_regulondb,6,2,36
TSS_1414_storz_regulondb,7,2,36
TSS_1414_storz_regulondb,8,2,36
TSS_1414_storz_regulondb,9,2,36
TSS_1414_storz_regulondb,10,2,36
TSS_1414_storz_regulondb,11,2,36
TSS_1414_storz_regulondb,12,2,36
TSS_1414_storz_regulondb,-40,1,37
TSS_1414_storz_regulondb,-39,1,37
TSS_1414_storz_regulondb,-37,1,37
TSS_1414_storz_regulondb,-27,2,37
TSS_1414_storz_regulondb,-26,2,37
TSS_1414_storz_regulondb,-25,2,37
TSS_1414_storz_regulondb,-24,2,37
TSS_1414_storz_regulondb,-23,2,37
TSS_1414_storz_regulondb,-19,3,37
TSS_1414_storz_regulondb,-18,3,37
TSS_1414_storz_regulondb,-17,3,37
TSS_1414_storz_regulondb,-16,3,37
TSS_1414_storz_regulondb,-15,3,37
TSS_1414_storz_regulondb,-14,3,37
TSS_1414_storz_regulondb,4,4,37
TSS_1414_storz_regulondb,6,4,37
TSS_1414_storz_regulondb,7,4,37
TSS_1414_storz_regulondb,8,4,37
TSS_1414_storz_regulondb,19,5,37
TSS_1414_storz_regulondb,20,5,37
TSS_1414_storz_regulondb,21,5,37
TSS_1414_storz_regulondb,22,5,37
TSS_1414_storz_regulondb,-41,1,38
TSS_1414_storz_regulondb,-40,1,38
TSS_1414_storz_regulondb,-39,1,38
TSS_1414_storz_regulondb,-25,2,38
TSS_1414_storz_regulondb,-24,2,38
TSS_1414_storz_regulondb,-18,3,38
TSS_1414_storz_regulondb,-17,3,38
TSS_1414_storz_regulondb,-16,3,38
TSS_1414_storz_regulondb,-15,3,38
TSS_1414_storz_regulondb,-14,3,38
TSS_1414_storz_regulondb,19,4,38
TSS_1414_storz_regulondb,20,4,38
TSS_1414_storz_regulondb,21,4,38
TSS_1414_storz_regulondb,22,4,38
TSS_1414_storz_regulondb,23,4,38
TSS_1414_storz_regulondb,-40,1,39
TSS_1414_storz_regulondb,-39,1,39
TSS_1414_storz_regulondb,-38,1,39
TSS_1414_storz_regulondb,-37,1,39
TSS_1414_storz_regulondb,-27,2,39
TSS_1414_storz_regulondb,-26,2,39
TSS_1414_storz_regulondb,-25,2,39
TSS_1414_storz_regulondb,-24,2,39
TSS_1414_storz_regulondb,-23,2,39
TSS_1414_storz_regulondb,-18,3,39
TSS_1414_storz_regulondb,-17,3,39
TSS_1414_storz_regulondb,-16,3,39
TSS_1414_storz_regulondb,-15,3,39
TSS_1414_storz_regulondb,-11,4,39
TSS_1414_storz_regulondb,-10,4,39
TSS_1414_storz_regulondb,4,5,39
TSS_1414_storz_regulondb,5,5,39
TSS_1414_storz_regulondb,6,5,39
TSS_1414_storz_regulondb,7,5,39
TSS_1414_storz_regulondb,8,5,39
TSS_1414_storz_regulondb,10,5,39
TSS_1414_storz_regulondb,19,6,39
TSS_1414_storz_regulondb,20,6,39
TSS_1414_storz_regulondb,-40,1,40
TSS_1414_storz_regulondb,-27,2,40
TSS_1414_storz_regulondb,-26,2,40
TSS_1414_storz_regulondb,-25,2,40
TSS_1414_storz_regulondb,-24,2,40
TSS_1414_storz_regulondb,-23,2,40
TSS_1414_storz_regulondb,-20,2,40
TSS_1414_storz_regulondb,-19,2,40
TSS_1414_storz_regulondb,-18,2,40
TSS_1414_storz_regulondb,-17,2,40
TSS_1414_storz_regulondb,-16,2,40
TSS_1414_storz_regulondb,-15,2,40
TSS_1414_storz_regulondb,-14,2,40
TSS_1414_storz_regulondb,4,3,40
TSS_1414_storz_regulondb,6,3,40
TSS_1414_storz_regulondb,7,3,40
TSS_1414_storz_regulondb,8,3,40
TSS_1414_storz_regulondb,19,4,40
TSS_1414_storz_regulondb,20,4,40
TSS_1414_storz_regulondb,21,4,40
TSS_1414_storz_regulondb,22,4,40
TSS_1414_storz_regulondb,-27,1,41
TSS_1414_storz_regulondb,-26,1,41
TSS_1414_storz_regulondb,-25,1,41
TSS_1414_storz_regulondb,-24,1,41
TSS_1414_storz_regulondb,-23,1,41
